date_entrée,2024-04-30,,montant_€,10000,,btc_futur_usd,70000
"Modifie B1 (date), E1 (montant), H1 (prix BTC futur) pour explorer",,,,,,,
date,btc_close,position,equity_strat_base100,equity_hodl_base100,equity_perso_strat,equity_perso_hodl
2017-11-30,9947.67,0.0,=D21*(1+C21*(B22/B21-1)),=100*B22/B$4,"=IF(A22<$B$1,0,IF(A21<$B$1,$E$1,F21*(1+C21*(B22/B21-1))))","=IF(A22<$B$1,0,IF(A21<$B$1,$E$1,G21*B22/B21))"
2017-12-31,13880.00,0.0,=D22*(1+C22*(B23/B22-1)),=100*B23/B$4,"=IF(A23<$B$1,0,IF(A22<$B$1,$E$1,F22*(1+C22*(B23/B22-1))))","=IF(A23<$B$1,0,IF(A22<$B$1,$E$1,G22*B23/B22))"
2018-01-31,10149.00,0.0,=D23*(1+C23*(B24/B23-1)),=100*B24/B$4,"=IF(A24<$B$1,0,IF(A23<$B$1,$E$1,F23*(1+C23*(B24/B23-1))))","=IF(A24<$B$1,0,IF(A23<$B$1,$E$1,G23*B24/B23))"
2018-02-28,10314.90,0.0,=D24*(1+C24*(B25/B24-1)),=100*B25/B$4,"=IF(A25<$B$1,0,IF(A24<$B$1,$E$1,F24*(1+C24*(B25/B24-1))))","=IF(A25<$B$1,0,IF(A24<$B$1,$E$1,G24*B25/B24))"
2018-03-31,6928.62,0.0,=D25*(1+C25*(B26/B25-1)),=100*B26/B$4,"=IF(A26<$B$1,0,IF(A25<$B$1,$E$1,F25*(1+C25*(B26/B25-1))))","=IF(A26<$B$1,0,IF(A25<$B$1,$E$1,G25*B26/B25))"
2018-04-30,9242.17,0.0,=D26*(1+C26*(B27/B26-1)),=100*B27/B$4,"=IF(A27<$B$1,0,IF(A26<$B$1,$E$1,F26*(1+C26*(B27/B26-1))))","=IF(A27<$B$1,0,IF(A26<$B$1,$E$1,G26*B27/B26))"
2018-05-31,7492.28,0.0,=D27*(1+C27*(B28/B27-1)),=100*B28/B$4,"=IF(A28<$B$1,0,IF(A27<$B$1,$E$1,F27*(1+C27*(B28/B27-1))))","=IF(A28<$B$1,0,IF(A27<$B$1,$E$1,G27*B28/B27))"
2018-06-30,6385.71,0.0,=D28*(1+C28*(B29/B28-1)),=100*B29/B$4,"=IF(A29<$B$1,0,IF(A28<$B$1,$E$1,F28*(1+C28*(B29/B28-1))))","=IF(A29<$B$1,0,IF(A28<$B$1,$E$1,G28*B29/B28))"
2018-07-31,7725.43,0.0,=D29*(1+C29*(B30/B29-1)),=100*B30/B$4,"=IF(A30<$B$1,0,IF(A29<$B$1,$E$1,F29*(1+C29*(B30/B29-1))))","=IF(A30<$B$1,0,IF(A29<$B$1,$E$1,G29*B30/B29))"
2018-08-31,7017.35,0.0,=D30*(1+C30*(B31/B30-1)),=100*B31/B$4,"=IF(A31<$B$1,0,IF(A30<$B$1,$E$1,F30*(1+C30*(B31/B30-1))))","=IF(A31<$B$1,0,IF(A30<$B$1,$E$1,G30*B31/B30))"
2018-09-30,6597.81,0.0,=D31*(1+C31*(B32/B31-1)),=100*B32/B$4,"=IF(A32<$B$1,0,IF(A31<$B$1,$E$1,F31*(1+C31*(B32/B31-1))))","=IF(A32<$B$1,0,IF(A31<$B$1,$E$1,G31*B32/B31))"
2018-10-31,6303.27,0.0,=D32*(1+C32*(B33/B32-1)),=100*B33/B$4,"=IF(A33<$B$1,0,IF(A32<$B$1,$E$1,F32*(1+C32*(B33/B32-1))))","=IF(A33<$B$1,0,IF(A32<$B$1,$E$1,G32*B33/B32))"
2018-11-30,3971.06,0.0,=D33*(1+C33*(B34/B33-1)),=100*B34/B$4,"=IF(A34<$B$1,0,IF(A33<$B$1,$E$1,F33*(1+C33*(B34/B33-1))))","=IF(A34<$B$1,0,IF(A33<$B$1,$E$1,G33*B34/B33))"
2018-12-31,3693.30,0.0,=D34*(1+C34*(B35/B34-1)),=100*B35/B$4,"=IF(A35<$B$1,0,IF(A34<$B$1,$E$1,F34*(1+C34*(B35/B34-1))))","=IF(A35<$B$1,0,IF(A34<$B$1,$E$1,G34*B35/B34))"
2019-01-31,3413.11,0.5,=D35*(1+C35*(B36/B35-1)),=100*B36/B$4,"=IF(A36<$B$1,0,IF(A35<$B$1,$E$1,F35*(1+C35*(B36/B35-1))))","=IF(A36<$B$1,0,IF(A35<$B$1,$E$1,G35*B36/B35))"
2019-02-28,3791.36,0.5,=D36*(1+C36*(B37/B36-1)),=100*B37/B$4,"=IF(A37<$B$1,0,IF(A36<$B$1,$E$1,F36*(1+C36*(B37/B36-1))))","=IF(A37<$B$1,0,IF(A36<$B$1,$E$1,G36*B37/B36))"
2019-03-31,4096.08,0.5,=D37*(1+C37*(B38/B37-1)),=100*B38/B$4,"=IF(A38<$B$1,0,IF(A37<$B$1,$E$1,F37*(1+C37*(B38/B37-1))))","=IF(A38<$B$1,0,IF(A37<$B$1,$E$1,G37*B38/B37))"
2019-04-30,5269.00,0.5,=D38*(1+C38*(B39/B38-1)),=100*B39/B$4,"=IF(A39<$B$1,0,IF(A38<$B$1,$E$1,F38*(1+C38*(B39/B38-1))))","=IF(A39<$B$1,0,IF(A38<$B$1,$E$1,G38*B39/B38))"
2019-05-31,8547.20,1.0,=D39*(1+C39*(B40/B39-1)),=100*B40/B$4,"=IF(A40<$B$1,0,IF(A39<$B$1,$E$1,F39*(1+C39*(B40/B39-1))))","=IF(A40<$B$1,0,IF(A39<$B$1,$E$1,G39*B40/B39))"
2019-06-30,10760.10,1.0,=D40*(1+C40*(B41/B40-1)),=100*B41/B$4,"=IF(A41<$B$1,0,IF(A40<$B$1,$E$1,F40*(1+C40*(B41/B40-1))))","=IF(A41<$B$1,0,IF(A40<$B$1,$E$1,G40*B41/B40))"
2019-07-31,10085.34,1.0,=D41*(1+C41*(B42/B41-1)),=100*B42/B$4,"=IF(A42<$B$1,0,IF(A41<$B$1,$E$1,F41*(1+C41*(B42/B41-1))))","=IF(A42<$B$1,0,IF(A41<$B$1,$E$1,G41*B42/B41))"
2019-08-31,9594.15,1.0,=D42*(1+C42*(B43/B42-1)),=100*B43/B$4,"=IF(A43<$B$1,0,IF(A42<$B$1,$E$1,F42*(1+C42*(B43/B42-1))))","=IF(A43<$B$1,0,IF(A42<$B$1,$E$1,G42*B43/B42))"
2019-09-30,8298.45,1.0,=D43*(1+C43*(B44/B43-1)),=100*B44/B$4,"=IF(A44<$B$1,0,IF(A43<$B$1,$E$1,F43*(1+C43*(B44/B43-1))))","=IF(A44<$B$1,0,IF(A43<$B$1,$E$1,G43*B44/B43))"
2019-10-31,9150.07,1.0,=D44*(1+C44*(B45/B44-1)),=100*B45/B$4,"=IF(A45<$B$1,0,IF(A44<$B$1,$E$1,F44*(1+C44*(B45/B44-1))))","=IF(A45<$B$1,0,IF(A44<$B$1,$E$1,G44*B45/B44))"
2019-11-30,7550.67,1.0,=D45*(1+C45*(B46/B45-1)),=100*B46/B$4,"=IF(A46<$B$1,0,IF(A45<$B$1,$E$1,F45*(1+C45*(B46/B45-1))))","=IF(A46<$B$1,0,IF(A45<$B$1,$E$1,G45*B46/B45))"
2019-12-31,7168.36,1.0,=D46*(1+C46*(B47/B46-1)),=100*B47/B$4,"=IF(A47<$B$1,0,IF(A46<$B$1,$E$1,F46*(1+C46*(B47/B46-1))))","=IF(A47<$B$1,0,IF(A46<$B$1,$E$1,G46*B47/B46))"
2020-01-31,9327.85,1.0,=D47*(1+C47*(B48/B47-1)),=100*B48/B$4,"=IF(A48<$B$1,0,IF(A47<$B$1,$E$1,F47*(1+C47*(B48/B47-1))))","=IF(A48<$B$1,0,IF(A47<$B$1,$E$1,G47*B48/B47))"
2020-02-29,8527.74,1.0,=D48*(1+C48*(B49/B48-1)),=100*B49/B$4,"=IF(A49<$B$1,0,IF(A48<$B$1,$E$1,F48*(1+C48*(B49/B48-1))))","=IF(A49<$B$1,0,IF(A48<$B$1,$E$1,G48*B49/B48))"
2020-03-31,6421.14,1.0,=D49*(1+C49*(B50/B49-1)),=100*B50/B$4,"=IF(A50<$B$1,0,IF(A49<$B$1,$E$1,F49*(1+C49*(B50/B49-1))))","=IF(A50<$B$1,0,IF(A49<$B$1,$E$1,G49*B50/B49))"
2020-04-30,8627.32,1.0,=D50*(1+C50*(B51/B50-1)),=100*B51/B$4,"=IF(A51<$B$1,0,IF(A50<$B$1,$E$1,F50*(1+C50*(B51/B50-1))))","=IF(A51<$B$1,0,IF(A50<$B$1,$E$1,G50*B51/B50))"
2020-05-31,9446.19,0.5,=D51*(1+C51*(B52/B51-1)),=100*B52/B$4,"=IF(A52<$B$1,0,IF(A51<$B$1,$E$1,F51*(1+C51*(B52/B51-1))))","=IF(A52<$B$1,0,IF(A51<$B$1,$E$1,G51*B52/B51))"
2020-06-30,9132.96,0.5,=D52*(1+C52*(B53/B52-1)),=100*B53/B$4,"=IF(A53<$B$1,0,IF(A52<$B$1,$E$1,F52*(1+C52*(B53/B52-1))))","=IF(A53<$B$1,0,IF(A52<$B$1,$E$1,G52*B53/B52))"
2020-07-31,11356.74,1.0,=D53*(1+C53*(B54/B53-1)),=100*B54/B$4,"=IF(A54<$B$1,0,IF(A53<$B$1,$E$1,F53*(1+C53*(B54/B53-1))))","=IF(A54<$B$1,0,IF(A53<$B$1,$E$1,G53*B54/B53))"
2020-08-31,11655.00,1.0,=D54*(1+C54*(B55/B54-1)),=100*B55/B$4,"=IF(A55<$B$1,0,IF(A54<$B$1,$E$1,F54*(1+C54*(B55/B54-1))))","=IF(A55<$B$1,0,IF(A54<$B$1,$E$1,G54*B55/B54))"
2020-09-30,10778.22,1.0,=D55*(1+C55*(B56/B55-1)),=100*B56/B$4,"=IF(A56<$B$1,0,IF(A55<$B$1,$E$1,F55*(1+C55*(B56/B55-1))))","=IF(A56<$B$1,0,IF(A55<$B$1,$E$1,G55*B56/B55))"
2020-10-31,13816.08,1.0,=D56*(1+C56*(B57/B56-1)),=100*B57/B$4,"=IF(A57<$B$1,0,IF(A56<$B$1,$E$1,F56*(1+C56*(B57/B56-1))))","=IF(A57<$B$1,0,IF(A56<$B$1,$E$1,G56*B57/B56))"
2020-11-30,19700.19,1.0,=D57*(1+C57*(B58/B57-1)),=100*B58/B$4,"=IF(A58<$B$1,0,IF(A57<$B$1,$E$1,F57*(1+C57*(B58/B57-1))))","=IF(A58<$B$1,0,IF(A57<$B$1,$E$1,G57*B58/B57))"
2020-12-31,28992.79,1.0,=D58*(1+C58*(B59/B58-1)),=100*B59/B$4,"=IF(A59<$B$1,0,IF(A58<$B$1,$E$1,F58*(1+C58*(B59/B58-1))))","=IF(A59<$B$1,0,IF(A58<$B$1,$E$1,G58*B59/B58))"
2021-01-31,33141.38,1.0,=D59*(1+C59*(B60/B59-1)),=100*B60/B$4,"=IF(A60<$B$1,0,IF(A59<$B$1,$E$1,F59*(1+C59*(B60/B59-1))))","=IF(A60<$B$1,0,IF(A59<$B$1,$E$1,G59*B60/B59))"
2021-02-28,45240.96,0.0,=D60*(1+C60*(B61/B60-1)),=100*B61/B$4,"=IF(A61<$B$1,0,IF(A60<$B$1,$E$1,F60*(1+C60*(B61/B60-1))))","=IF(A61<$B$1,0,IF(A60<$B$1,$E$1,G60*B61/B60))"
2021-03-31,58782.58,0.0,=D61*(1+C61*(B62/B61-1)),=100*B62/B$4,"=IF(A62<$B$1,0,IF(A61<$B$1,$E$1,F61*(1+C61*(B62/B61-1))))","=IF(A62<$B$1,0,IF(A61<$B$1,$E$1,G61*B62/B61))"
2021-04-30,57775.27,0.0,=D62*(1+C62*(B63/B62-1)),=100*B63/B$4,"=IF(A63<$B$1,0,IF(A62<$B$1,$E$1,F62*(1+C62*(B63/B62-1))))","=IF(A63<$B$1,0,IF(A62<$B$1,$E$1,G62*B63/B62))"
2021-05-31,37341.41,0.0,=D63*(1+C63*(B64/B63-1)),=100*B64/B$4,"=IF(A64<$B$1,0,IF(A63<$B$1,$E$1,F63*(1+C63*(B64/B63-1))))","=IF(A64<$B$1,0,IF(A63<$B$1,$E$1,G63*B64/B63))"
2021-06-30,35037.23,0.0,=D64*(1+C64*(B65/B64-1)),=100*B65/B$4,"=IF(A65<$B$1,0,IF(A64<$B$1,$E$1,F64*(1+C64*(B65/B64-1))))","=IF(A65<$B$1,0,IF(A64<$B$1,$E$1,G64*B65/B64))"
2021-07-31,41490.13,0.0,=D65*(1+C65*(B66/B65-1)),=100*B66/B$4,"=IF(A66<$B$1,0,IF(A65<$B$1,$E$1,F65*(1+C65*(B66/B65-1))))","=IF(A66<$B$1,0,IF(A65<$B$1,$E$1,G65*B66/B65))"
2021-08-31,47156.09,0.0,=D66*(1+C66*(B67/B66-1)),=100*B67/B$4,"=IF(A67<$B$1,0,IF(A66<$B$1,$E$1,F66*(1+C66*(B67/B66-1))))","=IF(A67<$B$1,0,IF(A66<$B$1,$E$1,G66*B67/B66))"
2021-09-30,43834.43,0.0,=D67*(1+C67*(B68/B67-1)),=100*B68/B$4,"=IF(A68<$B$1,0,IF(A67<$B$1,$E$1,F67*(1+C67*(B68/B67-1))))","=IF(A68<$B$1,0,IF(A67<$B$1,$E$1,G67*B68/B67))"
2021-10-31,61359.44,0.0,=D68*(1+C68*(B69/B68-1)),=100*B69/B$4,"=IF(A69<$B$1,0,IF(A68<$B$1,$E$1,F68*(1+C68*(B69/B68-1))))","=IF(A69<$B$1,0,IF(A68<$B$1,$E$1,G68*B69/B68))"
2021-11-30,56974.12,0.0,=D69*(1+C69*(B70/B69-1)),=100*B70/B$4,"=IF(A70<$B$1,0,IF(A69<$B$1,$E$1,F69*(1+C69*(B70/B69-1))))","=IF(A70<$B$1,0,IF(A69<$B$1,$E$1,G69*B70/B69))"
2021-12-31,46214.37,0.0,=D70*(1+C70*(B71/B70-1)),=100*B71/B$4,"=IF(A71<$B$1,0,IF(A70<$B$1,$E$1,F70*(1+C70*(B71/B70-1))))","=IF(A71<$B$1,0,IF(A70<$B$1,$E$1,G70*B71/B70))"
2022-01-31,38491.92,0.0,=D71*(1+C71*(B72/B71-1)),=100*B72/B$4,"=IF(A72<$B$1,0,IF(A71<$B$1,$E$1,F71*(1+C71*(B72/B71-1))))","=IF(A72<$B$1,0,IF(A71<$B$1,$E$1,G71*B72/B71))"
2022-02-28,43178.98,0.0,=D72*(1+C72*(B73/B72-1)),=100*B73/B$4,"=IF(A73<$B$1,0,IF(A72<$B$1,$E$1,F72*(1+C72*(B73/B72-1))))","=IF(A73<$B$1,0,IF(A72<$B$1,$E$1,G72*B73/B72))"
2022-03-31,45517.27,0.0,=D73*(1+C73*(B74/B73-1)),=100*B74/B$4,"=IF(A74<$B$1,0,IF(A73<$B$1,$E$1,F73*(1+C73*(B74/B73-1))))","=IF(A74<$B$1,0,IF(A73<$B$1,$E$1,G73*B74/B73))"
2022-04-30,37639.80,0.0,=D74*(1+C74*(B75/B74-1)),=100*B75/B$4,"=IF(A75<$B$1,0,IF(A74<$B$1,$E$1,F74*(1+C74*(B75/B74-1))))","=IF(A75<$B$1,0,IF(A74<$B$1,$E$1,G74*B75/B74))"
2022-05-31,31762.76,0.0,=D75*(1+C75*(B76/B75-1)),=100*B76/B$4,"=IF(A76<$B$1,0,IF(A75<$B$1,$E$1,F75*(1+C75*(B76/B75-1))))","=IF(A76<$B$1,0,IF(A75<$B$1,$E$1,G75*B76/B75))"
2022-06-30,19924.89,0.0,=D76*(1+C76*(B77/B76-1)),=100*B77/B$4,"=IF(A77<$B$1,0,IF(A76<$B$1,$E$1,F76*(1+C76*(B77/B76-1))))","=IF(A77<$B$1,0,IF(A76<$B$1,$E$1,G76*B77/B76))"
2022-07-31,23322.53,0.0,=D77*(1+C77*(B78/B77-1)),=100*B78/B$4,"=IF(A78<$B$1,0,IF(A77<$B$1,$E$1,F77*(1+C77*(B78/B77-1))))","=IF(A78<$B$1,0,IF(A77<$B$1,$E$1,G77*B78/B77))"
2022-08-31,20059.00,0.5,=D78*(1+C78*(B79/B78-1)),=100*B79/B$4,"=IF(A79<$B$1,0,IF(A78<$B$1,$E$1,F78*(1+C78*(B79/B78-1))))","=IF(A79<$B$1,0,IF(A78<$B$1,$E$1,G78*B79/B78))"
2022-09-30,19425.00,0.5,=D79*(1+C79*(B80/B79-1)),=100*B80/B$4,"=IF(A80<$B$1,0,IF(A79<$B$1,$E$1,F79*(1+C79*(B80/B79-1))))","=IF(A80<$B$1,0,IF(A79<$B$1,$E$1,G79*B80/B79))"
2022-10-31,20498.00,0.5,=D80*(1+C80*(B81/B80-1)),=100*B81/B$4,"=IF(A81<$B$1,0,IF(A80<$B$1,$E$1,F80*(1+C80*(B81/B80-1))))","=IF(A81<$B$1,0,IF(A80<$B$1,$E$1,G80*B81/B80))"
2022-11-30,17170.00,0.5,=D81*(1+C81*(B82/B81-1)),=100*B82/B$4,"=IF(A82<$B$1,0,IF(A81<$B$1,$E$1,F81*(1+C81*(B82/B81-1))))","=IF(A82<$B$1,0,IF(A81<$B$1,$E$1,G81*B82/B81))"
2022-12-31,16528.00,0.5,=D82*(1+C82*(B83/B82-1)),=100*B83/B$4,"=IF(A83<$B$1,0,IF(A82<$B$1,$E$1,F82*(1+C82*(B83/B82-1))))","=IF(A83<$B$1,0,IF(A82<$B$1,$E$1,G82*B83/B82))"
2023-01-31,23127.00,0.5,=D83*(1+C83*(B84/B83-1)),=100*B84/B$4,"=IF(A84<$B$1,0,IF(A83<$B$1,$E$1,F83*(1+C83*(B84/B83-1))))","=IF(A84<$B$1,0,IF(A83<$B$1,$E$1,G83*B84/B83))"
2023-02-28,23136.00,0.5,=D84*(1+C84*(B85/B84-1)),=100*B85/B$4,"=IF(A85<$B$1,0,IF(A84<$B$1,$E$1,F84*(1+C84*(B85/B84-1))))","=IF(A85<$B$1,0,IF(A84<$B$1,$E$1,G84*B85/B84))"
2023-03-31,28476.00,0.5,=D85*(1+C85*(B86/B85-1)),=100*B86/B$4,"=IF(A86<$B$1,0,IF(A85<$B$1,$E$1,F85*(1+C85*(B86/B85-1))))","=IF(A86<$B$1,0,IF(A85<$B$1,$E$1,G85*B86/B85))"
2023-04-30,29235.00,0.5,=D86*(1+C86*(B87/B86-1)),=100*B87/B$4,"=IF(A87<$B$1,0,IF(A86<$B$1,$E$1,F86*(1+C86*(B87/B86-1))))","=IF(A87<$B$1,0,IF(A86<$B$1,$E$1,G86*B87/B86))"
2023-05-31,27219.00,1.0,=D87*(1+C87*(B88/B87-1)),=100*B88/B$4,"=IF(A88<$B$1,0,IF(A87<$B$1,$E$1,F87*(1+C87*(B88/B87-1))))","=IF(A88<$B$1,0,IF(A87<$B$1,$E$1,G87*B88/B87))"
2023-06-30,30469.00,1.0,=D88*(1+C88*(B89/B88-1)),=100*B89/B$4,"=IF(A89<$B$1,0,IF(A88<$B$1,$E$1,F88*(1+C88*(B89/B88-1))))","=IF(A89<$B$1,0,IF(A88<$B$1,$E$1,G88*B89/B88))"
2023-07-31,29231.00,1.0,=D89*(1+C89*(B90/B89-1)),=100*B90/B$4,"=IF(A90<$B$1,0,IF(A89<$B$1,$E$1,F89*(1+C89*(B90/B89-1))))","=IF(A90<$B$1,0,IF(A89<$B$1,$E$1,G89*B90/B89))"
2023-08-31,25932.00,1.0,=D90*(1+C90*(B91/B90-1)),=100*B91/B$4,"=IF(A91<$B$1,0,IF(A90<$B$1,$E$1,F90*(1+C90*(B91/B90-1))))","=IF(A91<$B$1,0,IF(A90<$B$1,$E$1,G90*B91/B90))"
2023-09-30,26966.00,1.0,=D91*(1+C91*(B92/B91-1)),=100*B92/B$4,"=IF(A92<$B$1,0,IF(A91<$B$1,$E$1,F91*(1+C91*(B92/B91-1))))","=IF(A92<$B$1,0,IF(A91<$B$1,$E$1,G91*B92/B91))"
2023-10-31,34661.00,1.0,=D92*(1+C92*(B93/B92-1)),=100*B93/B$4,"=IF(A93<$B$1,0,IF(A92<$B$1,$E$1,F92*(1+C92*(B93/B92-1))))","=IF(A93<$B$1,0,IF(A92<$B$1,$E$1,G92*B93/B92))"
2023-11-30,37719.00,1.0,=D93*(1+C93*(B94/B93-1)),=100*B94/B$4,"=IF(A94<$B$1,0,IF(A93<$B$1,$E$1,F93*(1+C93*(B94/B93-1))))","=IF(A94<$B$1,0,IF(A93<$B$1,$E$1,G93*B94/B93))"
2023-12-31,42258.00,1.0,=D94*(1+C94*(B95/B94-1)),=100*B95/B$4,"=IF(A95<$B$1,0,IF(A94<$B$1,$E$1,F94*(1+C94*(B95/B94-1))))","=IF(A95<$B$1,0,IF(A94<$B$1,$E$1,G94*B95/B94))"
2024-01-31,42558.00,1.0,=D95*(1+C95*(B96/B95-1)),=100*B96/B$4,"=IF(A96<$B$1,0,IF(A95<$B$1,$E$1,F95*(1+C95*(B96/B95-1))))","=IF(A96<$B$1,0,IF(A95<$B$1,$E$1,G95*B96/B95))"
2024-02-29,61161.00,1.0,=D96*(1+C96*(B97/B96-1)),=100*B97/B$4,"=IF(A97<$B$1,0,IF(A96<$B$1,$E$1,F96*(1+C96*(B97/B96-1))))","=IF(A97<$B$1,0,IF(A96<$B$1,$E$1,G96*B97/B96))"
2024-03-31,71285.00,1.0,=D97*(1+C97*(B98/B97-1)),=100*B98/B$4,"=IF(A98<$B$1,0,IF(A97<$B$1,$E$1,F97*(1+C97*(B98/B97-1))))","=IF(A98<$B$1,0,IF(A97<$B$1,$E$1,G97*B98/B97))"
2024-04-30,60632.00,1.0,=D98*(1+C98*(B99/B98-1)),=100*B99/B$4,"=IF(A99<$B$1,0,IF(A98<$B$1,$E$1,F98*(1+C98*(B99/B98-1))))","=IF(A99<$B$1,0,IF(A98<$B$1,$E$1,G98*B99/B98))"
2024-05-31,67477.00,1.0,=D99*(1+C99*(B100/B99-1)),=100*B100/B$4,"=IF(A100<$B$1,0,IF(A99<$B$1,$E$1,F99*(1+C99*(B100/B99-1))))","=IF(A100<$B$1,0,IF(A99<$B$1,$E$1,G99*B100/B99))"
2024-06-30,62676.00,1.0,=D100*(1+C100*(B101/B100-1)),=100*B101/B$4,"=IF(A101<$B$1,0,IF(A100<$B$1,$E$1,F100*(1+C100*(B101/B100-1))))","=IF(A101<$B$1,0,IF(A100<$B$1,$E$1,G100*B101/B100))"
2024-07-31,64612.00,1.0,=D101*(1+C101*(B102/B101-1)),=100*B102/B$4,"=IF(A102<$B$1,0,IF(A101<$B$1,$E$1,F101*(1+C101*(B102/B101-1))))","=IF(A102<$B$1,0,IF(A101<$B$1,$E$1,G101*B102/B101))"
2024-08-31,58967.00,1.0,=D102*(1+C102*(B103/B102-1)),=100*B103/B$4,"=IF(A103<$B$1,0,IF(A102<$B$1,$E$1,F102*(1+C102*(B103/B102-1))))","=IF(A103<$B$1,0,IF(A102<$B$1,$E$1,G102*B103/B102))"
